,Date,DXY_close,IDCOTCTR_close,SKEW_close,WGREIT_close,VVIX_close,US10Y_close,US3M_close,USIG_close,USHY_close,VIX_close,CL_close,BCOMGC_close,SP_close,FESX_close,US_close,SI_close,N225_close,NQ_close,MOVE_close,TY_close,FGBL_close,JPY_close,CHF_close
77,2000-04-19,107.13,,,,,5.9961,5.796,,,27.02,,50.25,1440.25,,98.0,5.122,19086.62,,,98.3,,105.71,1.6694
78,2000-04-20,107.45,,,,,6.0,5.779,,,25.85,,50.08,1447.25,,98.06,4.989,18959.32,,,98.23,,105.8,1.6765
79,2000-04-21,,,,,,,,,,,,,,,,,18252.68,,,,,105.77,1.6753
80,2000-04-24,107.28,,,,,6.0195,5.744,,,27.37,,50.02,1437.0,,97.66,4.944,18480.15,,,98.23,,106.13,1.6759
81,2000-04-25,108.69,,,,,5.977,5.781,,,25.24,,49.77,1489.25,,97.06,5.008,18272.33,,,97.53,,106.14,1.7081
82,2000-04-26,108.55,,,,,5.977,5.738,,,26.97,,49.29,1475.5,,96.94,4.942,18134.31,,,97.55,,106.38,1.7024
83,2000-04-27,109.57,,,,,5.977,5.727,,,26.19,,49.52,1467.25,,96.25,4.958,18019.17,,,96.83,,108.15,1.7276
84,2000-04-28,110.14,,,,,6.2182,5.813,,,26.2,,48.87,1460.0,,96.56,4.96,17973.7,,,96.95,,108.2,1.7172
85,2000-05-01,109.63,,,,,5.977,5.796,,,25.88,,48.88,1477.0,,96.47,5.025,18403.08,,,96.72,,108.45,1.7075
86,2000-05-02,110.26,,,,,5.977,5.883,,,28.5,,49.27,1450.5,,95.84,5.025,18439.36,,,96.44,,108.97,1.7139
87,2000-05-03,111.26,,,,,5.977,5.843,,,31.63,,49.65,1422.5,,94.78,5.025,,,,95.95,,108.0,1.7246
88,2000-05-04,111.8,,,,,5.977,5.899,,,30.77,,50.02,1423.25,,93.81,5.123,,,,95.56,,108.58,1.7399
89,2000-05-05,111.31,,,,,6.5113,5.943,,,27.53,,49.83,1439.0,,93.56,5.006,,,,95.27,,108.56,1.7295
90,2000-05-08,111.45,,,,,5.977,5.984,,,28.2,,49.38,1430.5,,92.88,5.02,18199.96,,,94.98,,109.11,1.7248
91,2000-05-09,110.75,,,,,5.977,6.115,,,28.93,,49.49,1419.75,,93.44,5.04,17844.54,,,95.23,,109.35,1.7148
92,2000-05-10,110.8,,,,,5.977,6.083,,,29.87,,49.58,1387.75,,94.06,5.037,17701.47,,,95.73,,108.38,1.7191
93,2000-05-11,111.52,,,,,5.977,6.017,,,27.76,,49.19,1415.0,,94.25,5.021,16882.46,,,95.89,,108.32,1.7275
94,2000-05-12,109.9,,,,,6.5245,6.115,,,26.05,,49.26,1430.7,,93.5,5.019,17357.86,,,95.27,,108.38,1.6924
95,2000-05-15,110.56,,,,,5.977,6.078,,,24.86,,49.19,1457.7,,94.06,5.023,17313.69,,,95.55,,109.73,1.7075
96,2000-05-16,111.31,,,,,5.977,6.147,,,24.34,,49.16,1467.5,,94.53,5.108,17551.25,,,95.78,,108.91,1.7218
97,2000-05-17,112.1,,,,,5.977,6.041,,,23.98,,48.72,1456.7,,93.97,5.003,17404.03,,,95.44,,108.45,1.7342
98,2000-05-18,112.21,,,,,5.977,5.878,,,23.96,,48.7,1442.0,,93.06,5.02,17031.63,,,94.92,,106.91,1.7387
99,2000-05-19,111.47,,,,,6.4982,5.839,,,25.44,,48.84,1415.0,,93.28,4.995,16858.17,,,95.3,,107.02,1.7271
100,2000-05-22,111.06,,,,,5.977,5.828,,,26.0,,49.12,1403.75,,93.97,5.015,16386.01,,,95.89,,106.46,1.7218
101,2000-05-23,111.14,,,,,5.977,5.927,,,25.87,,48.84,1382.5,,93.94,5.016,16318.73,,,95.78,,107.66,1.7222
102,2000-05-24,111.22,,,,,5.977,5.89,,,24.32,,48.7,1401.75,,93.69,4.992,16044.44,,,95.69,,107.38,1.726
103,2000-05-25,110.75,,,,,5.977,5.842,,,24.58,,48.15,1389.0,,94.81,4.92,16247.82,,,96.28,,107.11,1.7135
104,2000-05-26,109.12,,,,,6.3273,5.786,,,24.47,,48.44,1381.25,,95.28,4.937,16008.14,,,96.73,,107.15,1.6815
105,2000-05-29,,,,,,,,,,,,,,,,,16245.44,,,,,106.48,1.6916
106,2000-05-30,108.93,,,,,5.977,5.725,,,23.62,,48.52,1427.25,,94.75,4.924,16228.9,,,96.41,,107.63,1.6867
107,2000-05-31,108.74,,,,,5.977,5.613,,,23.65,,48.4,1422.25,,95.69,4.941,16332.45,,,96.95,,108.5,1.681
108,2000-06-01,109.05,,,,,5.977,5.696,,,22.36,,48.51,1451.5,,96.5,4.941,16694.3,,,97.5,,107.95,1.6868
109,2000-06-02,108.12,,,,,6.1692,5.808,,,21.48,,50.06,1476.0,,96.72,5.026,16800.06,,,97.8,,108.05,1.6634
110,2000-06-05,107.46,,,,,6.1172,5.869,,,22.71,,50.76,1470.25,,97.06,5.051,17201.79,,,98.05,,105.85,1.66
111,2000-06-06,106.59,,,,,6.125,5.969,,,23.05,,51.39,1463.0,,97.03,5.086,17170.08,,,97.94,,105.58,1.646
